MonthlyIncomeID,StudentID,MonthlyIncome,Month,Year
115,488,748,May,2023
116,4769,1440,March,2020
117,1639,941,July,2020
118,4881,846,March,2020
119,3151,881,December,2020
120,3809,929,September,2023
121,2057,1160,October,2020
122,727,1573,February,2023
123,4161,826,April,2023
124,2027,1831,January,2020
125,2318,1721,May,2020
126,64,641,February,2020
127,1636,1911,January,2022
128,5025,596,March,2020
129,4604,553,June,2021
130,3765,784,May,2023
131,1367,1317,October,2021
132,5021,1011,May,2020
133,3712,652,August,2022
134,3213,1968,August,2020
135,4136,818,August,2020
136,4244,815,July,2020
137,716,1057,September,2023
138,748,1057,July,2021
139,4834,1749,June,2020
140,4256,1885,July,2020
141,4615,1392,August,2022
142,5382,1031,July,2021
143,1819,1557,March,2022
144,4538,1579,December,2021
145,2526,1063,September,2023
146,3604,801,August,2021
147,782,1259,April,2022
148,1632,1658,March,2022
149,3087,1360,January,2021
150,1903,1076,December,2021
151,5077,1193,March,2021
152,3219,1759,May,2023
153,1205,700,September,2021
154,3426,1134,December,2020
155,3729,701,May,2021
156,3632,1723,February,2021
157,4585,1833,August,2021
158,2556,1499,April,2021
159,4189,1926,December,2022
160,2260,535,July,2021
161,4216,1358,January,2021
162,4320,669,June,2022
163,3570,564,August,2023
164,2719,1363,May,2023
165,706,1368,April,2023
166,5425,1685,May,2020
167,4797,1978,June,2023
168,804,861,February,2021
169,3609,1089,September,2020
170,3282,819,July,2020
171,88,780,December,2023
172,3656,726,June,2021
173,3320,1736,April,2021
174,2829,1668,February,2022
175,3658,898,August,2023
176,2581,1024,April,2023
177,5101,772,September,2021
178,1653,1000,May,2021
179,4463,609,September,2023
180,5140,848,November,2020
181,4114,1266,October,2020
182,2420,898,March,2022
183,750,1584,May,2023
184,3186,1632,November,2020
185,5219,984,September,2020
186,3678,1546,March,2021
187,443,1226,August,2023
188,1913,1658,August,2022
189,356,995,December,2021
190,2995,1082,December,2022
191,1304,1668,June,2021
192,2105,1469,August,2022
193,39,812,September,2022
194,2928,792,November,2020
195,384,1545,February,2023
196,2857,995,January,2022
197,4353,1326,March,2022
198,2750,753,March,2022
199,4022,1998,February,2022
200,4772,701,July,2023
201,2801,1331,October,2023
202,1932,1848,December,2021
203,974,1657,June,2021
204,2831,1947,April,2020
205,932,1143,October,2020
206,1656,800,April,2023
207,3353,623,December,2022
208,37,1174,July,2021
209,4248,1770,April,2020
210,4090,1853,January,2023
211,4883,931,June,2022
212,5014,920,December,2023
213,1763,1938,May,2021
214,3056,1946,November,2023
215,2174,1014,June,2021
216,4141,1453,July,2021
217,3671,1322,March,2020
218,2574,743,February,2020
219,2991,844,July,2022
220,5103,1740,August,2023
221,1535,683,July,2021
222,2241,1437,August,2021
223,3859,1253,July,2022
224,2747,1601,October,2021
225,5417,671,August,2020
226,1831,1907,June,2020
227,1891,607,January,2022
228,1976,1699,July,2022
229,3178,1976,April,2022
230,3500,774,October,2022
231,5019,1977,December,2020
232,415,762,June,2022
233,106,1600,June,2023
234,2735,1880,April,2023
235,5432,543,November,2021
236,5200,1214,July,2020
237,3812,1519,July,2020
238,3925,726,April,2023
239,609,1813,July,2021
240,2416,1735,June,2023
241,60,1926,November,2021
242,4907,641,August,2021
243,5384,988,February,2020
244,5473,1577,September,2020
245,5243,901,February,2020
246,1049,946,September,2023
247,2622,681,November,2021
248,4077,629,February,2020
249,936,1726,June,2021
250,2323,1387,January,2022
251,2478,1284,September,2022
252,4901,1187,January,2022
253,5476,903,August,2022
254,4216,1318,March,2023
255,4831,929,September,2021
256,317,1354,December,2023
257,3239,1140,January,2023
258,3532,762,November,2021
259,1440,1782,May,2023
260,5269,1950,February,2021
261,1815,1643,November,2022
262,2829,548,May,2020
263,758,1845,November,2022
264,4519,677,February,2020
265,4252,1099,July,2021
266,821,1625,January,2021
267,3893,1039,September,2022
268,1688,1616,January,2022
269,2501,690,December,2023
270,4300,751,March,2023
271,3974,1881,November,2020
272,4272,1309,October,2022
273,1027,1251,April,2021
274,3030,1206,August,2022
275,4987,1447,July,2022
276,3358,1076,November,2020
277,3041,1368,February,2023
278,1298,692,February,2021
279,306,1515,October,2022
280,4473,1037,November,2023
281,442,1551,April,2023
282,3583,1624,September,2023
283,4943,1700,August,2022
284,3298,821,August,2023
285,4671,1260,April,2020
286,3798,1365,February,2022
287,4235,1168,February,2023
288,3229,1946,January,2021
289,3239,1116,May,2021
290,1681,1073,April,2022
291,1193,537,December,2023
292,1421,599,September,2022
293,4675,965,March,2020
294,1937,1711,January,2023
295,3046,590,September,2021
296,2407,1062,September,2022
297,2472,819,August,2020
298,1792,769,May,2023
299,4234,1042,February,2021
300,4378,583,March,2022
301,4785,1800,July,2023
302,975,1826,April,2023
303,4430,1536,January,2020
304,116,1824,October,2022
305,2995,1009,March,2023
306,4399,1511,April,2022
307,752,688,June,2022
308,650,1770,May,2021
309,1499,801,March,2022
310,4465,1032,July,2020
311,4180,818,November,2023
312,904,1103,July,2021
313,3227,1931,July,2022
314,3651,1686,July,2020
315,2893,1686,April,2023
316,1976,1477,June,2021
317,2690,986,June,2020
318,3656,848,January,2020
319,1074,564,September,2021
320,4622,1968,September,2022
321,3029,1326,April,2021
322,1269,1517,October,2023
323,1890,1760,March,2021
324,3672,935,November,2021
325,4463,923,November,2022
326,2995,1347,October,2023
327,2909,1879,March,2023
328,1008,1791,January,2022
329,2795,944,September,2020
330,4079,1836,February,2020
331,2404,1793,March,2020
332,3995,1778,June,2023
333,656,1904,August,2021
334,1962,1565,April,2020
335,4658,747,June,2020
336,1918,892,May,2021
337,2291,1755,June,2021
338,2156,1037,December,2021
339,1306,1428,May,2022
340,1645,1029,December,2021
341,4162,1225,September,2023
342,105,864,June,2020
343,4778,1206,November,2023
344,1170,512,April,2022
345,1384,984,October,2020
346,1356,1524,August,2022
347,716,1719,February,2021
348,944,1624,October,2023
349,4818,1458,July,2022
350,4461,1641,September,2020
351,1510,1006,November,2023
352,628,693,July,2020
353,2165,1851,April,2021
354,4798,1468,October,2022
355,5172,1488,January,2023
356,1094,1816,March,2023
357,3906,1523,May,2020
358,3279,1481,October,2022
359,4227,1137,January,2021
360,1337,988,November,2023
361,2609,642,April,2023
362,2122,682,May,2020
363,1479,534,December,2020
364,1825,1187,January,2023
365,2114,1231,January,2021
366,2220,640,October,2020
367,94,723,July,2023
368,2973,1075,May,2023
369,2143,1987,October,2022
370,3298,1599,December,2020
371,4071,1760,April,2020
372,4033,677,July,2022
373,3898,869,June,2021
374,5302,1940,February,2020
375,533,1858,February,2023
376,1646,981,July,2022
377,3262,719,June,2021
378,994,1327,December,2023
379,3010,1097,June,2020
380,5479,751,April,2020
381,5203,853,July,2020
382,4560,1758,May,2021
383,4258,519,February,2021
384,4291,1919,May,2021
385,3458,1277,April,2022
386,2923,1295,September,2020
387,5381,1347,July,2022
388,2084,1205,December,2023
389,5068,1367,September,2023
390,3596,500,December,2022
391,109,1860,November,2021
392,2602,1797,November,2023
393,4339,1242,March,2021
394,5407,550,February,2022
395,1776,1780,July,2020
396,655,779,August,2020
397,2703,1057,April,2021
398,1585,837,August,2020
399,850,1125,July,2023
400,1899,1724,May,2022
401,2919,1533,November,2022
402,5218,1871,September,2023
403,3651,1341,March,2023
404,1837,1894,July,2023
405,2029,678,November,2020
406,4124,1811,November,2022
407,4823,891,July,2023
408,3360,1521,January,2021
409,4481,1982,May,2021
410,4491,1761,September,2020
411,2378,698,September,2021
412,407,627,January,2020
413,1415,1722,September,2023
414,2641,1391,December,2023
415,3765,1063,April,2021
416,379,966,October,2020
417,211,927,September,2020
418,165,1875,July,2022
419,4168,1485,December,2020
420,1661,1060,December,2020
421,4429,1305,November,2021
422,3814,932,January,2023
423,2051,1740,December,2023
424,3462,1975,December,2023
425,2473,1394,April,2022
426,1378,990,September,2023
427,2098,1980,August,2023
428,4477,1161,September,2020
429,5131,1777,August,2021
430,1803,843,February,2020
431,1961,869,December,2022
432,2468,877,May,2020
433,3957,1717,April,2021
434,4466,870,July,2022
435,2488,891,June,2022
436,2468,829,December,2022
437,4600,1307,November,2020
438,2908,1510,May,2022
439,2193,737,July,2023
440,1393,1808,March,2022
441,3405,760,December,2020
442,2934,1943,August,2021
443,4838,1327,August,2023
444,920,733,April,2021
445,5415,963,May,2021
446,803,1122,March,2022
447,2946,855,March,2020
448,5051,1856,April,2020
449,4281,1730,August,2022
450,1412,1702,May,2023
451,3497,889,February,2022
452,406,1427,October,2020
453,2369,550,October,2022
454,1812,576,October,2020
455,4782,1204,July,2022
456,2561,526,December,2021
457,2752,1611,December,2023
458,2488,1538,April,2020
459,4562,1293,February,2020
460,4250,1084,July,2020
461,3718,1167,September,2020
462,5001,663,February,2023
463,4199,1393,October,2023
464,1736,779,June,2020
465,4155,1215,April,2023
466,3618,607,June,2023
467,3825,1401,October,2022
468,4375,1270,October,2020
469,5002,1704,November,2022
470,4791,1797,June,2020
471,2429,1752,March,2022
472,3398,1691,June,2022
473,328,1467,October,2021
474,3039,597,June,2021
475,1882,1171,August,2023
476,2086,1407,November,2020
477,1207,688,July,2021
478,334,1384,June,2020
479,218,784,May,2020
480,160,1167,February,2022
481,3653,587,October,2021
482,4085,995,September,2022
483,4351,1736,November,2021
484,2633,946,July,2021
485,2177,1111,May,2022
486,2444,1774,June,2023
487,4114,1236,November,2020
488,1578,880,January,2023
489,3880,1783,May,2021
490,380,1216,June,2023
491,1136,1643,February,2020
492,268,1685,October,2023
493,802,986,May,2023
494,2048,815,January,2020
495,3814,562,January,2021
496,2352,1040,November,2022
497,658,615,July,2021
498,4007,1349,July,2021
499,3034,686,December,2023
500,3115,1038,January,2020
501,937,1999,October,2020
502,387,1590,November,2021
503,4371,1838,July,2023
504,5187,1392,May,2020
505,1282,1876,August,2022
506,1875,1229,May,2022
507,877,1487,August,2023
508,5269,1024,September,2021
509,2588,1848,February,2021
510,4601,1529,July,2023
511,955,1066,July,2022
512,4440,1928,October,2023
513,2250,1911,April,2023
514,564,692,July,2022
515,1493,598,October,2020
516,585,869,October,2021
517,4507,1981,January,2021
518,376,1177,January,2021
519,2245,501,June,2021
520,5100,1953,November,2021
521,896,974,July,2022
522,292,1036,September,2023
523,2442,1675,June,2023
524,2443,1365,February,2023
525,2073,1426,April,2022
526,554,636,September,2021
527,1106,659,December,2021
528,3477,952,March,2022
529,5479,1474,May,2023
530,2884,1233,July,2021
531,4087,1629,July,2020
532,3770,952,July,2022
533,326,896,September,2021
534,3954,1146,November,2023
535,2967,1409,January,2021
536,1662,871,June,2021
537,2032,1954,January,2020
538,4409,763,November,2022
539,4730,993,September,2020
540,2794,1098,November,2023
541,5342,1628,February,2023
542,4792,1631,July,2020
543,3078,566,January,2021
544,3197,1195,May,2021
545,4152,1420,October,2022
546,1070,1918,June,2022
547,45,745,October,2022
548,5325,1618,March,2021
549,1969,1533,November,2023
550,429,1267,December,2023
551,1097,1318,June,2021
552,3919,1642,October,2021
553,4457,1761,March,2022
554,531,1342,August,2020
555,1758,1440,October,2021
556,4903,1444,March,2022
557,3611,1205,April,2023
558,4691,1776,July,2020
559,1163,1942,April,2020
560,3290,1436,April,2023
561,4920,1718,April,2020
562,4835,1831,March,2022
563,1399,1951,October,2023
564,3079,1628,November,2022
565,291,1597,May,2021
566,1604,1159,November,2022
567,1553,608,June,2022
568,1941,1722,February,2023
569,626,1384,April,2023
570,104,981,December,2020
571,5351,1098,May,2020
572,2013,1856,April,2020
573,4791,1851,February,2021
574,3487,1852,November,2021
575,5173,1511,August,2022
576,4300,1271,May,2020
577,5453,1012,June,2020
578,4987,1350,December,2020
579,4397,708,March,2023
580,4400,756,June,2023
581,5330,1807,May,2023
582,1348,712,December,2020
583,3186,552,July,2020
584,3129,1031,November,2020
585,3836,839,October,2022
586,2639,838,May,2022
587,1190,996,April,2023
588,4251,1337,June,2023
589,4134,998,July,2022
590,977,1033,July,2020
591,2426,603,October,2020
592,3097,1302,July,2020
593,1608,1310,September,2020
594,3147,719,May,2020
595,3959,1778,January,2022
596,490,1050,April,2020
597,4926,1165,January,2020
598,1244,1375,August,2023
599,1920,705,December,2022
600,3411,802,June,2022
601,3656,1619,July,2020
602,3938,1343,July,2020
603,2217,833,July,2020
604,1740,1842,April,2020
605,3792,1051,July,2021
606,5134,1143,March,2020
607,2319,1552,October,2023
608,3587,1997,December,2023
609,2663,1274,May,2021
610,2704,953,November,2023
611,4622,1793,February,2020
612,3049,1062,October,2021
613,4522,1364,June,2020
614,651,1951,April,2022
615,1953,1225,September,2023
616,3823,1616,November,2021
617,40,541,June,2022
618,4136,906,October,2021
619,1046,705,March,2020
620,4527,544,August,2022
621,3702,1049,November,2021
622,150,1034,September,2020
623,2006,1076,November,2021
624,5224,1081,June,2021
625,3285,1628,October,2021
626,4338,995,August,2023
627,1357,1552,September,2023
628,3441,1161,August,2020
629,2768,1124,March,2023
630,68,1311,March,2020
631,3917,1458,March,2022
632,939,1540,March,2023
633,2215,1295,February,2023
634,4208,1308,December,2020
635,2201,1479,September,2022
636,4352,1998,August,2023
637,1892,703,April,2023
638,852,1292,November,2021
639,628,1697,October,2022
640,5084,883,May,2023
641,1553,1698,February,2020
642,105,547,August,2020
643,3838,1133,July,2021
644,1005,765,May,2021
645,108,1887,August,2021
646,84,1113,August,2021
647,815,580,April,2021
648,3733,1276,March,2020
649,1065,1932,November,2022
650,2310,750,May,2021
651,116,1583,November,2022
652,1047,1909,December,2020
653,1055,1677,August,2023
654,3300,823,December,2022
655,2088,704,September,2022
656,3922,807,August,2022
657,4529,966,December,2020
658,4516,1069,November,2020
659,4675,1228,June,2022
660,5105,1834,November,2022
661,5253,809,September,2023
662,185,899,October,2021
663,5269,1234,March,2022
664,318,1030,July,2021
665,350,1960,May,2023
666,505,1538,May,2023
667,5328,1660,August,2021
668,4525,1990,January,2021
669,2515,1857,February,2021
670,5165,1002,December,2021
671,549,1230,January,2021
672,2114,1069,March,2020
673,5092,1618,August,2023
674,525,1901,November,2021
675,4929,1438,September,2020
676,4495,1749,September,2022
677,319,924,October,2023
678,611,1802,October,2023
679,816,597,September,2021
680,4668,814,August,2023
681,2953,1633,April,2020
682,2566,1552,November,2021
683,262,553,June,2021
684,164,1008,June,2023
685,2568,1917,January,2023
686,2196,682,April,2022
687,99,669,December,2021
688,1360,1420,November,2021
689,3486,1308,July,2021
690,3889,1786,September,2022
691,692,725,June,2022
692,5470,876,May,2021
693,3931,1585,September,2021
694,4936,1983,October,2022
695,5207,731,November,2023
696,2774,1325,May,2021
697,2790,617,December,2021
698,1437,1897,January,2021
699,3415,669,January,2023
700,2562,1364,May,2022
701,3198,509,October,2023
702,4549,912,December,2023
703,2775,1436,August,2023
704,2757,829,March,2020
705,2927,1151,July,2022
706,3341,782,September,2021
707,1740,992,June,2020
708,1247,650,October,2023
709,3096,1724,February,2020
710,3215,604,January,2020
711,1139,553,January,2023
712,860,643,May,2023
713,3004,910,December,2023
714,4703,1698,May,2022
715,5192,1407,July,2023
716,109,1966,July,2023
717,3790,687,March,2021
718,633,773,March,2021
719,2847,1253,April,2021
720,4882,1826,April,2022
721,2756,1691,July,2023
722,2767,1712,May,2020
723,1391,635,June,2020
724,401,1209,February,2023
725,5280,1774,December,2020
726,4773,1029,April,2022
727,678,764,May,2021
728,4743,1938,October,2020
729,2955,1764,June,2020
730,709,1393,April,2023
731,4478,1878,May,2021
732,1758,1248,March,2021
733,5118,561,February,2021
734,1586,1657,December,2020
735,2776,529,November,2023
736,1977,1141,May,2021
737,2781,1627,September,2021
738,3339,1432,July,2021
739,3640,1682,March,2022
740,4729,578,February,2022
741,268,1276,December,2020
742,4882,1756,March,2021
743,192,1617,September,2023
744,2996,1654,November,2022
745,2355,1676,December,2023
746,2136,798,July,2021
747,4307,1974,January,2020
748,3686,1718,September,2023
749,1424,1227,December,2021
750,381,1114,September,2023
751,3206,624,July,2020
752,613,1853,November,2020
753,2323,1042,May,2022
754,1086,1014,January,2023
755,1349,932,September,2023
756,3989,1413,April,2022
757,259,1936,December,2020
758,622,903,August,2022
759,899,997,June,2022
760,3314,1025,March,2021
761,3066,1380,September,2020
762,5471,1592,September,2021
763,4450,672,February,2020
764,960,1150,January,2023
765,1930,1212,September,2021
766,1548,1533,May,2022
767,4559,1769,August,2020
768,4627,638,January,2023
769,326,875,September,2021
770,3933,1064,October,2020
771,445,1466,December,2022
772,3681,1448,August,2020
773,4976,1425,June,2021
774,4099,1148,November,2022
775,3140,730,February,2023
776,4188,1274,September,2020
777,2910,834,January,2023
778,3136,805,June,2022
779,3909,1217,July,2022
780,4189,1437,February,2022
781,3912,1494,October,2023
782,4033,1732,March,2021
783,2220,1506,February,2020
784,2060,1873,December,2020
785,1204,693,May,2022
786,780,1580,September,2023
787,3671,1260,November,2020
788,3001,1179,November,2021
789,5413,890,December,2022
790,4364,1216,June,2022
791,2644,1968,October,2021
792,5263,693,July,2023
793,3736,1330,July,2022
794,5075,1361,May,2021
795,5091,974,November,2022
796,2304,687,December,2021
797,2,1618,September,2020
798,934,705,February,2022
799,3152,739,October,2023
800,1907,1027,September,2021
801,1324,1062,October,2022
802,186,1676,May,2021
803,3105,1812,December,2020
804,5024,870,December,2020
805,3924,1338,November,2023
806,2000,1674,June,2021
807,1899,774,March,2021
808,10,994,May,2023
809,4350,836,August,2023
810,1577,1327,November,2023
811,2268,1840,May,2022
812,3972,1964,September,2023
813,4029,510,September,2022
814,1372,1568,December,2020
815,3860,1443,August,2022
816,42,1203,January,2023
817,3052,599,October,2022
818,820,1390,April,2022
819,4873,1738,November,2022
820,187,1341,October,2022
821,4606,1341,May,2023
822,4997,1971,October,2022
823,1349,860,October,2020
824,1957,521,June,2021
825,4146,1389,November,2020
826,448,610,August,2021
827,1146,1228,May,2021
828,5334,1977,January,2023
829,5373,1050,January,2022
830,1052,721,October,2020
831,1574,799,February,2022
832,458,1853,March,2021
833,4461,1467,April,2021
834,2106,639,November,2022
835,2732,1550,October,2020
836,3201,1112,March,2021
837,5403,1888,July,2023
838,5121,619,June,2022
839,1563,794,July,2022
840,340,1258,December,2021
841,2276,1348,February,2023
842,4166,1269,August,2022
843,877,1510,May,2022
844,487,1817,October,2020
845,2837,1079,April,2021
846,2966,1573,August,2020
847,4061,843,March,2023
848,5397,1431,April,2021
849,4397,1037,February,2021
850,1390,1638,December,2021
851,4997,849,January,2021
852,4958,1467,October,2021
853,1591,1728,January,2022
854,3711,1236,March,2020
855,1061,572,December,2020
856,2898,1743,October,2021
857,1954,1188,June,2021
858,4292,587,December,2023
859,681,998,December,2020
860,847,1131,October,2023
861,1799,549,September,2020
862,1815,772,October,2020
863,2335,1894,December,2023
864,1108,1052,October,2020
865,2152,919,November,2022
866,4411,1394,May,2022
867,346,1988,February,2022
868,5346,1119,October,2022
869,2032,543,July,2020
870,4246,1615,May,2021
871,2348,640,April,2021
872,4415,1597,December,2021
873,3919,1881,April,2021
874,4275,1648,May,2022
875,578,959,June,2021
876,2113,1108,June,2022
877,4924,1910,June,2020
878,1549,593,January,2020
879,2998,1776,April,2021
880,5353,1934,February,2023
881,2501,580,February,2021
882,2097,1979,September,2021
883,4219,989,February,2023
884,3399,1085,March,2021
885,4602,1463,July,2020
886,4013,1083,August,2020
887,3278,617,July,2020
888,3705,1559,August,2023
889,3256,1903,September,2021
890,1504,1909,August,2022
891,2975,720,February,2022
892,4074,1095,July,2020
893,4680,1512,May,2021
894,3429,1935,May,2020
895,2620,1258,June,2020
896,2839,1020,August,2022
897,3347,1184,July,2021
898,4720,1837,October,2021
899,4554,1055,May,2022
900,2789,1273,December,2021
901,2323,1508,January,2021
902,3411,912,June,2023
903,3629,781,August,2023
904,1842,951,July,2023
905,3590,1494,September,2023
906,4020,729,September,2020
907,3121,1031,September,2021
908,1139,1729,February,2023
909,5404,1970,September,2020
910,3715,1121,April,2021
911,2127,1928,November,2020
912,305,1233,June,2023
913,3232,1865,September,2020
914,3812,1620,August,2021
915,3959,1510,August,2020
916,3606,1396,September,2023
917,1224,1719,July,2020
918,559,909,May,2020
919,843,1007,May,2020
920,5431,876,April,2021
921,2588,1203,July,2021
922,1544,1092,December,2022
923,2175,1829,May,2023
924,1424,1079,November,2022
925,595,873,August,2021
926,1614,1900,October,2023
927,99,1367,September,2021
928,1261,684,April,2021
929,416,1669,January,2020
930,3499,1807,October,2020
931,5300,560,August,2023
932,3259,878,June,2022
933,5415,776,February,2020
934,4260,1321,July,2020
935,5162,1538,May,2021
936,4676,914,October,2023
937,3451,1445,November,2021
938,2990,1759,December,2023
939,3556,1674,October,2023
940,1915,1525,September,2020
941,2291,1453,April,2020
942,2819,1553,September,2020
943,531,618,February,2020
944,4324,985,October,2023
945,5276,1404,February,2020
946,5120,657,May,2022
947,705,919,February,2021
948,4375,1950,March,2023
949,2896,542,November,2020
950,1815,1565,March,2021
951,4332,1092,June,2023
952,1678,843,July,2020
953,3667,1411,December,2020
954,1505,1603,March,2023
955,4646,867,April,2023
956,4830,925,May,2020
957,2781,928,April,2022
958,3546,1598,January,2023
959,4550,1386,June,2023
960,680,831,November,2021
961,1597,1136,May,2020
962,1983,991,April,2020
963,2278,1154,March,2021
964,176,717,April,2022
965,4092,1471,March,2021
966,2769,1601,January,2022
967,4260,1191,May,2021
968,1130,1331,February,2020
969,4189,822,November,2023
970,2137,1824,June,2021
971,4704,1576,April,2023
972,3210,1634,March,2023
973,252,1350,February,2022
974,428,1767,July,2022
975,5243,1423,January,2020
976,681,1021,October,2023
977,4694,1829,May,2020
978,3125,1481,January,2022
979,579,1197,July,2022
980,4702,1363,August,2023
981,3605,1543,November,2020
982,5300,1969,July,2022
983,5487,1901,January,2020
984,1855,713,April,2022
985,4579,666,May,2021
986,2383,641,February,2023
987,4909,1206,January,2020
988,4253,1556,July,2023
989,3320,1017,June,2022
990,4532,1819,June,2023
991,2885,1310,April,2020
992,4374,550,October,2021
993,2258,1123,April,2021
994,803,854,February,2022
995,1827,1630,December,2020
996,2533,1654,September,2022
997,727,1636,July,2021
998,3533,1677,June,2022
999,5281,918,March,2020
1000,2977,639,May,2022
1001,2570,1175,March,2022
1002,3528,1247,August,2021
1003,5260,1711,June,2020
1004,3236,988,August,2021
1005,5273,568,July,2020
1006,1226,1173,July,2022
1007,4054,1597,February,2020
1008,3119,749,August,2021
1009,2840,1422,December,2020
1010,2732,631,November,2021
1011,24,1267,February,2022
1012,1369,1686,May,2020
1013,2183,1344,April,2022
1014,2533,1684,October,2023
1015,1327,1777,July,2022
1016,417,1036,April,2023
1017,3988,1959,December,2023
1018,4543,621,July,2022
1019,86,1623,February,2022
1020,5305,1949,October,2022
1021,2720,666,June,2020
1022,3761,1872,December,2020
1023,2760,766,June,2022
1024,1202,666,September,2023
1025,3057,1256,November,2020
1026,5233,1850,September,2023
1027,1017,549,February,2021
1028,180,1335,June,2023
1029,3460,1868,November,2022
1030,5279,1279,January,2023
1031,91,1296,December,2021
1032,2712,1704,March,2023
1033,4474,849,September,2023
1034,4371,1618,May,2021
1035,1215,945,August,2020
1036,1765,807,January,2021
1037,4382,562,February,2023
1038,4266,1419,February,2023
1039,2494,794,September,2023
1040,4383,1299,June,2021
1041,4211,1269,July,2022
1042,3593,988,February,2022
1043,3975,1004,May,2020
1044,1626,815,September,2020
1045,933,1968,February,2023
1046,2417,875,May,2021
1047,4267,1193,February,2023
1048,1201,615,May,2022
1049,3529,1617,January,2023
1050,1427,1179,September,2022
1051,3091,862,February,2022
1052,4366,877,October,2020
1053,3437,1305,October,2022
1054,2790,593,March,2020
1055,3477,1549,March,2023
1056,235,1641,May,2021
1057,2739,1954,August,2022
1058,3641,1832,February,2022
1059,1275,1818,April,2022
1060,2385,615,June,2020
1061,1659,756,May,2021
1062,1999,1890,September,2023
1063,4332,1123,April,2022
1064,1978,1634,September,2021
1065,4493,937,August,2023
1066,2217,1848,April,2020
1067,756,702,March,2022
1068,490,1332,August,2020
1069,1850,946,September,2023
1070,5459,775,October,2023
1071,5012,933,April,2020
1072,4291,1203,December,2020
1073,1349,873,January,2020
1074,1066,980,February,2023
1075,2154,1927,April,2021
1076,5309,1306,March,2021
1077,3584,1833,May,2022
1078,1043,1115,December,2022
1079,132,1954,December,2023
1080,662,1134,August,2022
1081,1545,1256,July,2021
1082,1858,612,February,2023
1083,1766,1102,August,2020
1084,5281,1969,March,2020
1085,5047,572,May,2021
1086,3633,1424,October,2023
1087,3475,726,January,2021
1088,800,810,January,2020
1089,1635,1859,July,2020
1090,2749,1595,August,2020
1091,3939,822,June,2021
1092,3856,892,November,2023
1093,4373,803,May,2021
1094,5266,1167,August,2021
1095,3752,1927,November,2023
1096,1998,728,August,2020
1097,3135,1990,September,2020
1098,4709,1943,February,2020
1099,2061,996,May,2022
1100,1968,1438,December,2023
1101,1903,1772,June,2022
1102,1955,1651,November,2023
1103,1394,507,July,2022
1104,2654,1121,January,2021
1105,3960,1380,November,2021
1106,2452,1619,October,2023
